chrom	start	end	AB1_hotspots
chr1	15497	18631	1
chr1	38426	40527	1
chr1	90761	91987	1
chr1	424174	426058	1
chr1	456925	457897	1
chr1	461281	462574	1
chr1	520942	522118	1
chr1	525614	527396	1
chr1	537211	538046	1
chr1	546059	546992	1
chr1	558521	560201	1
chr1	635159	637011	1
chr1	748011	750932	1
chr1	792215	794875	1
chr1	805012	806323	1
chr1	830190	831133	1
chr1	842482	844063	1
chr1	857347	858634	1
chr1	872278	875457	1
chr1	902285	903691	1
chr1	905314	907315	1
chr1	908672	911041	1
chr1	918694	920714	1
chr1	958939	960164	1
chr1	984131	986249	1
chr1	1019257	1020876	1
chr1	1024686	1027070	1
chr1	1035071	1036491	1
chr1	1064864	1065987	1
chr1	1069443	1071368	1
chr1	1076273	1077107	1
chr1	1104866	1107254	1
chr1	1118859	1121052	1
chr1	1154508	1156968	1
chr1	1170906	1172903	1
chr1	1187522	1188854	1
chr1	1204916	1205953	1
chr1	1218712	1220473	1
chr1	1222760	1224296	1
chr1	1224687	1226980	1
chr1	1307803	1309376	1
chr1	1360174	1361331	1
chr1	1396296	1397725	1
chr1	1462368	1463696	1
chr1	1468713	1472735	1
chr1	1517726	1520037	1
chr1	1558573	1559987	1
chr1	1577834	1579010	1
chr1	1596715	1598366	1
chr1	1602342	1603757	1
chr1	1609125	1611887	1
chr1	1641032	1642220	1
chr1	1656750	1658327	1
chr1	1686285	1687795	1
chr1	1690917	1693029	1
chr1	1732764	1733944	1
chr1	1751553	1752716	1
chr1	1878823	1880181	1
chr1	1890530	1892581	1
chr1	1900372	1902441	1
chr1	1921375	1926133	1
chr1	1970626	1972112	1
chr1	1976719	1978574	1
chr1	1982930	1985363	1
chr1	2033354	2034625	1
chr1	2055444	2056283	1
chr1	2111789	2112913	1
chr1	2143102	2144575	1
chr1	2211875	2214661	1
chr1	2215005	2217151	1
chr1	2218465	2221237	1
chr1	2229894	2231431	1
chr1	2242904	2244422	1
chr1	2254207	2255739	1
chr1	2270517	2271599	1
chr1	2273391	2274756	1
chr1	2278760	2279606	1
chr1	2300815	2302386	1
chr1	2323776	2326089	1
chr1	2345165	2347550	1
chr1	2354465	2355881	1
chr1	2364382	2366235	1
chr1	2367313	2369578	1
chr1	2403541	2406108	1
chr1	2406847	2408757	1
chr1	2420897	2422163	1
